Index,Text,Label
0,حمید رضا بدیم صفو پایانی ببریم بالا این بچه‌ها حالشو ببرن,خوشبین
1,طبق شنیده‌ها امروز در حین بازار خبر تولید باالی دستگاه ایران منتشر خواهد_شد از گزارش پیش بینی سود هر سهم هم شنیده هایی می‌رسد که فشارهایی برای اعالم تعدیل منفی درصدی وجود دارد که شاید این سود مجدد تعدیل شود,خوشبین
2,حجم فروش ایران بالاست حقوقیش به زور نگه داشت از طرفی هم حق تقدم هنوز باد کرده کسی نمی‌خره عجله‌ای خرید نکنید,بدبین
3,اینو از من داشته_باشید امروز نخری جا موندی ناجوور,خوشبین
4,وقتی پایانی نزدیک درصد هست یعنی فروش حماقته چون فردا صد در صد رو به بالاست,خوشبین
5,سبد,خوشبین
6,تایید به معنای نقل و انتقال ارزی ( البته به غیر از دلار ) هست و کسانی که ادعای عدم فروش و انتقال ارزی رو میکنن آگاه باشند شرایط با سال خیلی متفاوت هست لذا نقل و انتقال ارزی مقدور شد امکان داره فروششون کم بشه ولی با افزایش دو برابری نرخ ارز در شش ماه کل سود پیش بینی بودجه رو رکورد زدن و شش ماهه بعدی هر چی بفروشند مازاد پیش بینی است ضمنا دو نرخی شدن بنزین در شش ماهه دوم قطعی هست,خوشبین
7,منفی فردا رو داشته_باشید خخ,بدبین
8,سلام صبح همگی بخیر // من به دلم برات شده که توافق ایران و غرب صورت میگیرد // سهام ارزشمندتان را مفت از دست ندید,خوشبین
9,به گزارش خبرگزاری کاترین اشتون مسوول سیاست خارجی اتحادیه اروپا شب شنبه در پاسخ به دعوت محمدجواد ظریف وزیر امور خارجه کشورمان وارد می‌شود اشتون قرار است روز یکشنبه با محمدجواد ظریف همتای ایرانی خود و حسن روحانی رییس‌جمهور کشورمان دیدار و گفت‌وگو کند,خوشبین
10,هرچی زور زدن پایانی منفی بشه دیگه نشد ریال مثبت,خوشبین
11,سشرقح خپارسح واعتبارح جالبه اینه که روزی که میخان افزایش سرمایه بدن حق تقدم بالا بازگشایی می‌کنن و روزی که میخان حراج کنن سهامشان بی ارزش میشه و میگن سهام اوفه کسی نمیخره سهام زیان ده هست امیدوارم دوستانی که سرمایشون به این راحتی دارن غارت میکنن جلو چشمون هیچکسی هم نیست به دادشون برسه واقعن متاسفیم برای مسوالان که فقط بلدن حقوق بگیرن دم نزنن,خوشبین
12,سهم شناور به کمتر از درصد رسیده و حقوقی ( ها ) همچنان خریدار انبوه سهم حالا هی بگید مذاکرات فلانه و مذاکرات بهمانه اگر مذاکرات شکست بخوره فکر کردید مگه خودشونو نمیشورن حموم نمیرن ظرف نمیشورن فرش نمیشورن,خوشبین
13,سیگنال خرید++,خوشبین
14,امروز به ندیدن اونایی که می‌خوان با پایین‌ترین قیمت بفروشن از خواب بیدار شدیم,خوشبین
15,علی نبیان معاون ‌عمرانی استانداری مازندران پست بانک ایران نقش ارزنده‌ای در فرهنگی و اقتصادی مناطق روستایی دارد,خوشبین
16,طبق وعده افزودم وتا میارم بالا این سهم راه رو خواهد_رفت,خوشبین
17,سهام شناور سهم خیلی پایین اومده,خوشبین
18,سیگنال خرید با دقت و سرعت و بررسی و تحقیق فردا بخرید,خوشبین
19,دوستانی که قصده خرید یا اضافه کردن سهم رو دارن یادشون باشه که شنبه احتمالا نماد بسته_خواهد_شد برای رفتن به مجمع عمومی فوق‌العاده,خوشبین
20,در حال حاضر مهمترین محدوده مقاومتی سهم در محدوده ریال تا ریال قرار داشته که انتظار افزایش عرضه‌ها را در این محدوده را شاهد بودیم باتوجه باینکه سهم از محدوده فوق با قدرت عبور نموده می‌توان هدف اول را در قله قبلی و محدوده قیمت ریال در نظر گرفت با علم به اینکه مقاومت بعدی سهم ریال می‌باشد,خوشبین
21,سهم رو بصورت پلکانی وارد شدم و هفته مطمین هستم سهم صف خرید میشه و تا محدوده رشد میکنه,خوشبین
22,محدوده‌ها,بدبین
23,زیر مجموعه این شرکت در حال ارسال صورتهای مالی خود با تعدیلات خوبی هستند احتمال تعدیل برای این شرکت دور از ذهن نیست ( کدال ),خوشبین
24,ازپیام دکترظریف مشخصه که هنوزکارزیادی برای رسیدن به توافق وجودداره وهنوزتوافقی درکارنیست چون ظاهراجومذاکرات هم تاحالا مثبت نبوده وطرفین هم هرکدام سازوطبل خودشان رامیزنندوحتی ممکنه مذاکرات درحدالیماه دیگه تمدیدبشه وبرای بازارفرداهم برداشت سرمایه گذاران متفاوت خواهدبود وممکنه شاهدصفهای فروش میلیونی باشیم که اگه عده‌ای زیادجوگیرنشن وخودشان رادرصفهای فروش جاندهندممکنه ازاواخرفرداشاهدبرگشت بازارباشیم به هرحال هیجان چه دربازارمنفی وچه دربازارمثبت آفت سرمایه گذاراست,خوشبین
25,انشاالله که روز خوبی خواهد_بود,خوشبین
26,سلام دوستان بنده تا ماه در خدمت دوستان نخواهم_بود برای گذراندن مابقی خدمت سربازی باید امروز عازم محل خدمت شوم پس تا // خدا نگهدار //,خوشبین
27,محکوم به صعوده++,خوشبین
28,جوشکاب یزد اطلاعات تکمیلی در رابطه با فروش واحد طبقه دوم ساخنمان ظفر ( به پیوست ) // //,خوشبین
29,تعدیلمثبت را تا دو روز خواهد_داشت و بهترین موقعیت برای خرید است صعود شارپی تا اردیبهشت همه تکنیکالیست‌های قهار مثل دکتر دانایی سیگنال دادند,خوشبین
30,روز پیش سیگنال خرید دادیم اینم سندش و پیروز باشید,خوشبین
31,فقط در این چند وقته داره تعدیل مثبت میده خدا میدونه چی میخاد بشه,خوشبین
32,بسیار,خوشبین
33,و واکنش به محدوده‌ی حمایتی و برگشت انشالله,خوشبین
34,براساس اخبار واصله از بازار نگرانی کاهش قیمت اوره به سطح کمتر از دلار و عدم کاهش نرخ خوراک از مهمترین دلایل کاهش تحرکات مثبت در میباشد منبع آل سیگنال,بدبین
35,بفروشین و فرار کنید ازین قماربازخونه,بدبین
36,در حال خروج از وضعیت اصلاحی در صورت تثبیت بالای تومان سیگنال رشد صادر میشود,خوشبین
37,فقط ++== چه میکنه حقوقی,خوشبین
38,بجه‌ها همیشه یادتون باشه وقتی صف خرید بود فقط و فقط خریدار باشید,خوشبین
39,انتخابات میگه فکر کردی میان پول تزریق میکنن تو سهم قحطیه,بدبین
40,سود سهام سال را هنوز واریز نکرده‌اند آیا کسی اطلاع دارد که کی اقدام می‌کنند,بدبین
41,میلیون صف خرید و بدون فروشنده امروز نصف حجم مبنا را پر نمیکنه,خوشبین
42,الو ممد من ص ال ح دیم برو رو صفش کن ٪امروز بخر منفی بخوره فردا - دیگه صف فروش رو جمع کن دمت گرم نوکرتم بنابر این پس فردا +,خوشبین
43,هم تا چند دقیقه دیگه صف خرید میشه,خوشبین
44,دیروز همون حقیقیه هزارتا اضافه کرده,خوشبین
45,به دلیل پی بر ای بالای سهم که نشان دهنده سوددهی پایین سهم هست در حالت عادی سهم اصلاح زیادی خواهد_داشت مگر حقوقی سهم با حمایت قوی نوید آینده‌ای با سود بیشتر را به بازار اعلام کند و بازار به تعدیل مثبت سود در وارد این سهم گردد,بدبین
46,بتا سهم سیگنالش رو داده,خوشبین
47,فرصت ورود برای میان مدت,خوشبین
48,همه چیز عالیه صبور و پرسود باشید,خوشبین
49,هم لحظاتی قبل پرتفوی مهرماه خود را اعلام عمده پرتفوی این سرمایه گذاری است یه جورایی تک سهم رو هستش آتیه در مهر میلیون سهم را فروخته که خیلی مهم نیست اما نکته مهم در پرتفوی اینست که ارزش هر سهم رو ریال دیده جالبه خودتون تا تهش برید,خوشبین
50,هم داره میره صف خرید بشه,خوشبین
51,اینجا اونجا همه جا کافیه یه کمی بهش فرصت بدی تا آسمونا میره بالا,خوشبین
52,خبر **مهم** همین نمایشگاه بین المللی قطعات لوازم و مجموعه‌های در این نمایشگاه حدود شرکت داخلی و شرکت خارجی جدیدترین تجهیزات صنایع و خدمات مرتبط با حوزه قطعات و مجموعه‌های را به نمایش می‌گذارند,خوشبین
53,دوستان با توجه به اینکه مدتهاست در جا زدن یه بررسی روی این سهمها خوبه داشته باشین,خوشبین
54,ن شایعس تعدیل منفیش,خوشبین
55,قیمت سهام با خط روند برخورد کرده_است و با توجه به همگرایی و بنیادی خوب سهم افزایش خواهد_یافت و برای هدف امیدواری ایجاد می‌کند,خوشبین
56,خالی کن دیگه,خوشبین
57,هم داره برمی گرده,خوشبین
58,رشد سود در سال | پایگاه خبری و تحلیلی نماد پایدار,خوشبین
59,رشد قیمت دلار در اکثر گروه‌ها ونماد‌ها تاثیر گذار بوده و باعث رشد قیمت شده غیر از حالا علت چیه,بدبین
60,میشه عشق است,بدبین
61,یعنی همچین حجمی بزنه فولادی و معدنی و پتروشیمی که بازار خاوره میانه به خودش ندیده خخ,خوشبین
62,اا دااور کثثاافت تووفف توو رووحت,خوشبین
63,نهایتا امروز دیگه استراحت داره,خوشبین
64,در حوالی,خوشبین
65,خدارو شکر الان بسته هستش ) ) ماه دیگه باز میشه قطعا باید نشون بده سودی که پیش بینی کرده منطقیه,خوشبین
66,باعرض سلامبر اساس اخرین پیشبینی شرکت به صورت دقیق و جز به جز حساب کردم که خود شرکت ملیارد ریال بابت اختلاف قیمت شیر و افزایش قیمت فروش ( ٪ ) سوداوری داشته و دارد که از برای هر سهم ریال به سود ریالی پیشبینی شده اضافه میشود که مجموعا ریال ای پی اس باید اعلام بکنند که با پی بر ای فعلی در حدود قیمت تومن ارزش گذاری میشود البته لازم به ذکر اگر کاهشی در مقدار فروش نداشته_باشند این مقادیر صادق است,خوشبین
67,کف سازی فوق العاده‌ای کرده اندکی صبر سحر نزدیک است,خوشبین
68,شاخصم داره منفی میشه به لطف و,بدبین
69,دوستان بالاخره مجبور میشه بالا بره خودتون رو اذیت نکنید,خوشبین
70,که هر افت قیمتی میشه میخریم و میانگین کم میکنیم و نگران هم نیستم این سهم به شکل ناگهانی قفل میکنه برای صعود هر چند که شاید تا هم سقوط کنه که به نظرم غیر ممکنه و احتمالا از تا قفل بشه برای مثبت شدن من به صورت پله‌ای دارم میخرم و حداکثر فاصله‌ام از سهم درصد میشه و با خرید پله بعد میانگین کم میکنم شکی نیست در یک روز از منفی به صف خرید خواهد_رفت این قیمت‌ها برای پله اول عالیه با توجه به اینکه انبوه سازی هم نزدیک کف تاریخیشه,خوشبین
71,شاخص خبر تیپیکوضمن خسته نباشید به دوستان دیروز عرض کردم خدمدتون که بزرگان بازار و ارز به این خبر واکنش نشون نمی‌دن و مذاکرات هم سرانجامش معلومه امروز از طرف من خودتونو یه معجون مهمون کنید تا بعد بازارم که داره بر می‌گرده حالا اگه بازار بخواد منفی هم بشه دیگه خودرویی‌ها نمی‌زارن من چند روز پیش فروختم و نوش جون همتون البته نداشتم گیرمم نیومد فردا هرجور شده یکم میخرم,خوشبین
72,صف خرید فردا مبارک دوستان,خوشبین
73,سشرقح,خوشبین
74,گفتم پشیمون میشین مثبت شد,خوشبین
75,فردا ریال,خوشبین
76,در کف قیمت صف خرید تشکیل داده,خوشبین
77,مخالفای سیگنال خرید جمعه ( ) ی نگاهی به صف خریدش بندازن ٪ سود در سه روز از رو هوا که کارگزار نشدیم,خوشبین
78,شهریور خشرقح بسته میشه,خوشبین
79,کیبیسی فرصت خرید را از دست ندید,خوشبین
80,درصد تعدیل نسبت به سود محقق شده سال گذشته چند ساله که مجامع عالیه,خوشبین
81,درصد کل خریدو حقوقی انجام داده حجم خریدار بیشتر از فروشنده است دلیلی برای فروش نمی‌بینم این سهم می‌کشه بالا,خوشبین
82,شاخص به حمایت خورده و این هفته برمیگرده خیلی‌ها از روند شاخص سود میکنن و از نوسان شاخص سود‌های خوبی میگیرن بهترین فرصت کسب سوده,خوشبین
83,فقط میتونم بگم,خوشبین
84,نگهداری کنید تو منفی یا مثبت سهم بازی گردان داره بازی نخورید صعودش قطعی ایشالا,خوشبین
85,مهمترین مشکل اینه که طرف قرارداد در ساخت پالایشگاه نفت ستاره خلیج قرار گاه خاتم است که هم به خاطر سیاسی کاری و تحریم وعدم دانش فنی کافی هزینه‌های بسیار سنگینی به شرکت وارد شده و اگر روز ی دست انها کوتاه شود قیمت دوهزار تومانی هم برای خیلی کمه,خوشبین
86,امروز ترکوند / حجم معامله میلیون,خوشبین
87,از نمایی دیگر,خوشبین
88,پس از افزایش سرمایه باید صبور بود تا سهام برگرده,خوشبین
89,سهامداری میکنیم,خوشبین
90,دوستان این سهم رو حتمن در سبد خودتون داشه باشین,خوشبین
91,++==,خوشبین
92,دیشب درمورد مقاومت گفته_بودم حالا شکسته شده وحداقل تاتومان به راحتی می‌رود,خوشبین
93,هزار تومانی شده تومان,بدبین
94,رفت کهصف خرید بشهاز خرید جا نمونی,خوشبین
95,آخه احساسی تو مملکت فقط همه اهل جو گیری هستیم,بدبین
96,اگه فردا باز بشه که بازم بعید میدونم تو رنج مثبت خوبی باز میشه و اخر وقتم یهویی میشه صف خرید و بعدشم بسته میشه و اونایی که میترسن میفروشن از شرشون راحت میشیم و احتمالا بعد مجمع میان برای خرید تو صف خرید یا میشن دشمن بدبین سهم اما اگه باز نشد که این احتمالش زیاده بی شک بعد مجمع با استقبال قیمتی و پشتیبانی سهامدارن عمده و بازیگران اصلی سهم خیلی قشنگ‌تر از تصور من و شما باز میشه تازه فردا هم باز بشه بازم قشنگ باز میشه تا اونایی که به کم قانع هستن بتونن تشریف ببرن در کل کسی که چند روز پیش خریده برای نگهداری خریده به خصوص اونایی که مثل من خریدن مسخره کنن یا نه این سهم به زودی از همینجا به راحتی بالای و بعدش میرسه حالا بیا و مسخره کن فقط بهتره اگه باز شد بیایی بخری تا اینکه حسادت کنید و بدبن بشین وسلام موفق باشید یادگاری تاریخ امروز // ساعت شب,خوشبین
97,چه گینی بده این به سهامدارهاش هم اونها که از قبل سهمو دارند و هم اونهایی که تازه میخوان وارد بشن همچین صف خریدی ببنده تاریخی و ماندگار,خوشبین
98,خبر شاخص تجربه نوسان تعدیل + بزودی,خوشبین
99,حقوقی عزیز جمع کن فدایی داری,خوشبین
100,مشخصه کی باز میشه,خوشبین
101,یعنی میشه,خوشبین
