Index,Text,Label
0,فردا فرو میریزد,بدبین
1,از قندیها و غافل نشوید,خوشبین
2,به نظرتون باچه قیمتی بازمیشه,خوشبین
3,منتظرم باز شه ندبد بفروشم تومن دستمو بیر غنیمت,بدبین
4,بازار فقط فرصت ورود داده,خوشبین
5,بچه‌ها چطور میشه فروخت این سهام رو حالا یک هفته هست من نتونستم بفروشم بس که صف میشه,بدبین
6,ببنید افرادی اینجا بودند که دم از بازگشایی میزدند و باز هم اینجا پیداشون میشه افزایش سرمایه سنگین تنها راهی است که پلی اکریل باقی مونده و این مهم انجام خواهد_شد و در مجمع اعلام شده اما پیدا شدن آی هایی که عمدتا برای یک شخص هم می‌باشد بخاطر این مسیله است که به ارزش سهم واقف اند ودنبال خرید آن هستند فکر میکنید دل این افراد برای شما میسوزد که نهارو شامشونم جلوی این سایت میگذرونند تجربه‌ای که از افزایش سرمایه تجدید ارزیابی دارم عمدتا صعود قیمتی بعد از درج افزایش سرمایه بوده دوستان سهامدار کمی صبر کنید تا افزایش سرمایه رو کدال بشینه تا بعدا حسرت نخورند,خوشبین
7,حقوقی خرید کرده با کدهای دیگم میخوادبخرهصف هم ساختگیه برااینکه ادمای ترسو تشویق بشن برن توی صف تا حقوقی ازشون بخرهجای نگرانی نیست دوستان خوشبین باشیدفقط خدارایاد کنید,خوشبین
8,تو بازار سهام میشه با علم سود بدست اورد میشه با اخبار رانتی سود بدست آورد اما همیشه یه چیز بوده که بیشتر از همه سود داده صبر,خوشبین
9,وگردشح سهمهای بنیادی سیکنال خرید,خوشبین
10,خطاب به حقوقی محترم آمدی جانم بقربانت ولی حالا چرا,خوشبین
11,حمایتهای خارجی خوبی قراره از صنعت و معدن انجام بشه خبرهای خوبی ازش به جز افزایش سرمایه ٪ به گوش میرسه,خوشبین
12,صف خرید مبارک پرسود باشید,خوشبین
13,صف دیدنی شدد,خوشبین
14,چرا « » تعدیل منفی داد,خوشبین
15,برخی دوستان در مورد صحبت‌های بنده در مورد فلزات اساسی و قیمت دچار ابهاماتی شدند نمیخواستم این نمودار را بزارم اما مقایسه کنید نمودار و سکه را شما بجای آهن هم میخریدی همین سود را میکردی طبق این تناسب با سکه تومانی باید معامله میشد دلیل صف‌های خرید این روزهای همین هست و اینکه گفتم تومانی تعجب نکنید نمودارها را نگاه کنید تشابهات و تناسبات را خواهید_دید در بین تمام این سهمها بنده را توصیه میکنم که در ابتدای راه قرار داره و کاملا از بقیه عقب مانده_است تنها راه رسیدن به بقیه بستن و باز شدن با قیمت‌های بالاست فلزات یا یا هر آهن پاره دیگه‌ای نهایتا تا دو ماه دیگر به سقف قیمتی خواهند_خورد از فلزات جا نمانید,خوشبین
